图片路径,子图,子图类型,子图数量
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/59/images/fig_1.jpg,a,apparatus diagram,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/59/images/fig_1.jpg,b,timeline chart,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/59/images/fig_7.jpg,a,multiple line chart,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/59/images/fig_6.jpg,a,scatter plot,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/59/images/fig_9.jpg,a,line chart,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/59/images/fig_5.jpg,a,spectra chart,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/59/images/fig_5.jpg,b,spectra chart,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/59/images/fig_4.jpg,a,scatter plot,3
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/59/images/fig_4.jpg,b,scatter plot,3
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/59/images/fig_4.jpg,c,scatter plot,3
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/59/images/fig_8.jpg,a,stacked spectra chart,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/59/images/fig_8.jpg,b,multiple scatter plot,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/59/images/fig_3.jpg,a,multiple line chart,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/59/images/fig_2.jpg,a,multiple line chart,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/59/images/fig_2.jpg,b,multiple line chart,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/66/images/0f17ce2d6089bb35707b890f75e18e79f6625a556ecf2ad207b3d1cf06f22559.jpg,a,reaction scheme,3
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/66/images/0f17ce2d6089bb35707b890f75e18e79f6625a556ecf2ad207b3d1cf06f22559.jpg,b,bar chart,3
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/66/images/0f17ce2d6089bb35707b890f75e18e79f6625a556ecf2ad207b3d1cf06f22559.jpg,c,bar chart,3
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/66/images/figure_3.jpg,a,contour heatmap,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/66/images/figure_3.jpg,b,contour heatmap,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/66/images/figure_2.jpg,a,contour heatmap,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/66/images/figure_2.jpg,b,contour heatmap,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/66/images/figure_5.jpg,a,bar chart,5
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/66/images/figure_5.jpg,b,bar chart,5
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/66/images/figure_5.jpg,c,bar chart,5
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/66/images/figure_5.jpg,d,bar chart,5
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/66/images/figure_5.jpg,e,bar chart,5
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/66/images/figure_8.jpg,a,multiple scatter plot,3
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/66/images/figure_8.jpg,b,scatter plot,3
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/66/images/figure_8.jpg,c,scatter plot,3
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/66/images/figure_4.jpg,a,multiple line chart,5
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/66/images/figure_4.jpg,b,multiple line chart,5
